	cmd	descr	duration	enclaved	operation	program	size	time
9	['build/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.253279	True	12586269025, 20365011074	gcd	11.0	2021-08-21 12:51:13.017274
0	['target/release/gcd', '2', '3']	Time from before all recursive calls to after them	1.2e-05	False	2, 3	gcd	1.0	2021-08-21 12:51:15.634153
1	['target/release/gcd', '13', '21']	Time from before all recursive calls to after them	3.7e-05	False	13, 21	gcd	2.0	2021-08-21 12:51:15.636586
2	['target/release/gcd', '144', '233']	Time from before all recursive calls to after them	8.4e-05	False	144, 233	gcd	3.0	2021-08-21 12:51:15.638920
3	['target/release/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.000133	False	1597, 2584	gcd	4.0	2021-08-21 12:51:15.641753
4	['target/release/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.000183	False	10946, 17711	gcd	5.0	2021-08-21 12:51:15.645065
5	['target/release/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.000257	False	121393, 196418	gcd	6.0	2021-08-21 12:51:15.648886
6	['target/release/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.000344	False	1346269, 2178309	gcd	7.0	2021-08-21 12:51:15.653724
7	['target/release/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.000455	False	14930352, 24157817	gcd	8.0	2021-08-21 12:51:15.659608
8	['target/release/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.000462	False	102334155, 165580141	gcd	9.0	2021-08-21 12:51:15.666616
9	['target/release/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.00064	False	12586269025, 20365011074	gcd	11.0	2021-08-21 12:51:15.673367
0	['build/gcd', '2', '3']	Time from before all recursive calls to after them	0.019981	True	2, 3	gcd	1.0	2021-08-21 12:51:15.687540
1	['build/gcd', '13', '21']	Time from before all recursive calls to after them	0.039936	True	13, 21	gcd	2.0	2021-08-21 12:51:15.973249
2	['build/gcd', '144', '233']	Time from before all recursive calls to after them	0.064802	True	144, 233	gcd	3.0	2021-08-21 12:51:16.453261
3	['build/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.089848	True	1597, 2584	gcd	4.0	2021-08-21 12:51:17.181260
4	['build/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.109601	True	10946, 17711	gcd	5.0	2021-08-21 12:51:18.161253
5	['build/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.134687	True	121393, 196418	gcd	6.0	2021-08-21 12:51:19.337235
6	['build/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.159047	True	1346269, 2178309	gcd	7.0	2021-08-21 12:51:20.765260
7	['build/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.183925	True	14930352, 24157817	gcd	8.0	2021-08-21 12:51:22.437254
8	['build/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.204263	True	102334155, 165580141	gcd	9.0	2021-08-21 12:51:24.357256
9	['build/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.25343	True	12586269025, 20365011074	gcd	11.0	2021-08-21 12:51:26.481262
0	['target/release/gcd', '2', '3']	Time from before all recursive calls to after them	1.2e-05	False	2, 3	gcd	1.0	2021-08-21 12:51:29.102142
1	['target/release/gcd', '13', '21']	Time from before all recursive calls to after them	3.6e-05	False	13, 21	gcd	2.0	2021-08-21 12:51:29.104578
2	['target/release/gcd', '144', '233']	Time from before all recursive calls to after them	8.4e-05	False	144, 233	gcd	3.0	2021-08-21 12:51:29.106925
3	['target/release/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.000133	False	1597, 2584	gcd	4.0	2021-08-21 12:51:29.109714
4	['target/release/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.000185	False	10946, 17711	gcd	5.0	2021-08-21 12:51:29.113077
5	['target/release/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.000258	False	121393, 196418	gcd	6.0	2021-08-21 12:51:29.116929
6	['target/release/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.000372	False	1346269, 2178309	gcd	7.0	2021-08-21 12:51:29.121771
7	['target/release/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.000547	False	14930352, 24157817	gcd	8.0	2021-08-21 12:51:29.128062
8	['target/release/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.000698	False	102334155, 165580141	gcd	9.0	2021-08-21 12:51:29.136439
9	['target/release/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.000908	False	12586269025, 20365011074	gcd	11.0	2021-08-21 12:51:29.146772
0	['build/gcd', '2', '3']	Time from before all recursive calls to after them	0.019965	True	2, 3	gcd	1.0	2021-08-21 12:51:29.167442
1	['build/gcd', '13', '21']	Time from before all recursive calls to after them	0.040019	True	13, 21	gcd	2.0	2021-08-21 12:51:29.461252
2	['build/gcd', '144', '233']	Time from before all recursive calls to after them	0.064809	True	144, 233	gcd	3.0	2021-08-21 12:51:29.941285
3	['build/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.089364	True	1597, 2584	gcd	4.0	2021-08-21 12:51:30.669209
4	['build/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.109234	True	10946, 17711	gcd	5.0	2021-08-21 12:51:31.641247
5	['build/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.134695	True	121393, 196418	gcd	6.0	2021-08-21 12:51:32.813263
6	['build/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.159228	True	1346269, 2178309	gcd	7.0	2021-08-21 12:51:34.241281
7	['build/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.18392	True	14930352, 24157817	gcd	8.0	2021-08-21 12:51:35.913248
8	['build/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.203341	True	102334155, 165580141	gcd	9.0	2021-08-21 12:51:37.833236
9	['build/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.253903	True	12586269025, 20365011074	gcd	11.0	2021-08-21 12:51:39.945262
0	['target/release/gcd', '2', '3']	Time from before all recursive calls to after them	1.2e-05	False	2, 3	gcd	1.0	2021-08-21 12:51:42.570171
1	['target/release/gcd', '13', '21']	Time from before all recursive calls to after them	3.6e-05	False	13, 21	gcd	2.0	2021-08-21 12:51:42.572592
2	['target/release/gcd', '144', '233']	Time from before all recursive calls to after them	8.4e-05	False	144, 233	gcd	3.0	2021-08-21 12:51:42.574990
3	['target/release/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.000133	False	1597, 2584	gcd	4.0	2021-08-21 12:51:42.577790
4	['target/release/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.000183	False	10946, 17711	gcd	5.0	2021-08-21 12:51:42.581111
5	['target/release/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.000257	False	121393, 196418	gcd	6.0	2021-08-21 12:51:42.584920
6	['target/release/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.00037	False	1346269, 2178309	gcd	7.0	2021-08-21 12:51:42.589758
