	cmd	descr	duration	enclaved	operation	program	size	time
8	['target/release/maxisign', 'verify', '/tmp/tmp9wxbjpgb']	Time from after program startup until after verification result has been emitted	1.871	False	verify	maxisign	524288.0	2021-08-23 08:34:16.892016
9	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	5.759	False	sign	maxisign	1048576.0	2021-08-23 08:34:16.926889
10	['target/release/maxisign', 'verify', '/tmp/tmp0wifnkpe']	Time from after program startup until after verification result has been emitted	3.662	False	verify	maxisign	1048576.0	2021-08-23 08:34:16.934763
11	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	23.092	False	sign	maxisign	4194304.0	2021-08-23 08:34:17.063493
12	['target/release/maxisign', 'verify', '/tmp/tmpjoftbyib']	Time from after program startup until after verification result has been emitted	14.388	False	verify	maxisign	4194304.0	2021-08-23 08:34:17.088981
13	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	46.119	False	sign	maxisign	8388608.0	2021-08-23 08:34:17.351136
14	['target/release/maxisign', 'verify', '/tmp/tmp_58p71u_']	Time from after program startup until after verification result has been emitted	28.638	False	verify	maxisign	8388608.0	2021-08-23 08:34:17.399978
15	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	69.228	False	sign	maxisign	12582912.0	2021-08-23 08:34:17.799333
16	['target/release/maxisign', 'verify', '/tmp/tmpj8zz4fws']	Time from after program startup until after verification result has been emitted	43.041	False	verify	maxisign	12582912.0	2021-08-23 08:34:17.871618
0	['build/maxisign', 'genkey']	Time from after program startup to complete key generation	0.714	True	genkey	maxisign		2021-08-23 08:34:17.923541
1	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.673	True	sign	maxisign	1024.0	2021-08-23 08:34:18.005595
2	['build/maxisign', 'verify', '/tmp/tmpy4kkl1wb']	Time from after program startup until after verification result has been emitted	0.127	True	verify	maxisign	1024.0	2021-08-23 08:34:18.089376
3	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.741	True	sign	maxisign	10240.0	2021-08-23 08:34:18.173856
4	['build/maxisign', 'verify', '/tmp/tmpsouo560j']	Time from after program startup until after verification result has been emitted	0.156	True	verify	maxisign	10240.0	2021-08-23 08:34:18.257368
5	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	1.436	True	sign	maxisign	102400.0	2021-08-23 08:34:18.344523
6	['build/maxisign', 'verify', '/tmp/tmp554k5bd9']	Time from after program startup until after verification result has been emitted	0.588	True	verify	maxisign	102400.0	2021-08-23 08:34:18.433360
7	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	4.126	True	sign	maxisign	524288.0	2021-08-23 08:34:18.532886
8	['build/maxisign', 'verify', '/tmp/tmpfkbqwvnn']	Time from after program startup until after verification result has been emitted	2.036	True	verify	maxisign	524288.0	2021-08-23 08:34:18.621363
9	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	7.441	True	sign	maxisign	1048576.0	2021-08-23 08:34:18.740331
10	['build/maxisign', 'verify', '/tmp/tmpwmc_b8cp']	Time from after program startup until after verification result has been emitted	3.788	True	verify	maxisign	1048576.0	2021-08-23 08:34:18.829342
11	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	27.616	True	sign	maxisign	4194304.0	2021-08-23 08:34:19.043174
12	['build/maxisign', 'verify', '/tmp/tmpe2ulrezp']	Time from after program startup until after verification result has been emitted	14.484	True	verify	maxisign	4194304.0	2021-08-23 08:34:19.153368
13	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	54.501	True	sign	maxisign	8388608.0	2021-08-23 08:34:19.503557
14	['build/maxisign', 'verify', '/tmp/tmp2tz_2rrf']	Time from after program startup until after verification result has been emitted	28.906	True	verify	maxisign	8388608.0	2021-08-23 08:34:19.641365
15	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	81.77	True	sign	maxisign	12582912.0	2021-08-23 08:34:20.122481
16	['build/maxisign', 'verify', '/tmp/tmp8ufdlf87']	Time from after program startup until after verification result has been emitted	43.163	True	verify	maxisign	12582912.0	2021-08-23 08:34:20.285347
0	['target/release/maxisign', 'genkey']	Time from after program startup to complete key generation	0.097	False	genkey	maxisign		2021-08-23 08:34:20.419346
1	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.084	False	sign	maxisign	1024.0	2021-08-23 08:34:20.422054
2	['target/release/maxisign', 'verify', '/tmp/tmph_415tid']	Time from after program startup until after verification result has been emitted	0.106	False	verify	maxisign	1024.0	2021-08-23 08:34:20.424238
3	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.126	False	sign	maxisign	10240.0	2021-08-23 08:34:20.426926
4	['target/release/maxisign', 'verify', '/tmp/tmpkcylqrz_']	Time from after program startup until after verification result has been emitted	0.131	False	verify	maxisign	10240.0	2021-08-23 08:34:20.429102
5	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.672	False	sign	maxisign	102400.0	2021-08-23 08:34:20.434529
6	['target/release/maxisign', 'verify', '/tmp/tmp980a1apw']	Time from after program startup until after verification result has been emitted	0.49	False	verify	maxisign	102400.0	2021-08-23 08:34:20.437274
7	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	2.903	False	sign	maxisign	524288.0	2021-08-23 08:34:20.455462
8	['target/release/maxisign', 'verify', '/tmp/tmpyivfa5xe']	Time from after program startup until after verification result has been emitted	1.855	False	verify	maxisign	524288.0	2021-08-23 08:34:20.460480
